id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,beam_spot_size_nm,collapse_threshold_nm,dose_reference,dose_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,seed
0,../../data/_sponsor\verify\reference\00000.png,../../data/_sponsor\verify\search\00000.png,546.8,289.6,496.8,239.6,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
1,../../data/_sponsor\verify\reference\00001.png,../../data/_sponsor\verify\search\00001.png,278.9,928.0,228.9,878.0,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
2,../../data/_sponsor\verify\reference\00002.png,../../data/_sponsor\verify\search\00002.png,628.7,403.8,578.7,353.8,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
3,../../data/_sponsor\verify\reference\00003.png,../../data/_sponsor\verify\search\00003.png,648.5,859.6,598.5,809.6,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
4,../../data/_sponsor\verify\reference\00004.png,../../data/_sponsor\verify\search\00004.png,874.5,434.4,824.5,384.4,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
5,../../data/_sponsor\verify\reference\00005.png,../../data/_sponsor\verify\search\00005.png,255.1,437.9,205.1,387.9,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
6,../../data/_sponsor\verify\reference\00006.png,../../data/_sponsor\verify\search\00006.png,221.6,471.3,171.6,421.3,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
7,../../data/_sponsor\verify\reference\00007.png,../../data/_sponsor\verify\search\00007.png,909.3,405.9,859.3,355.9,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
8,../../data/_sponsor\verify\reference\00008.png,../../data/_sponsor\verify\search\00008.png,357.3,900.3,307.3,850.3,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
9,../../data/_sponsor\verify\reference\00009.png,../../data/_sponsor\verify\search\00009.png,872.7,539.6,822.7,489.6,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
10,../../data/_sponsor\verify\reference\00010.png,../../data/_sponsor\verify\search\00010.png,839.4,849.7,789.4,799.7,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
11,../../data/_sponsor\verify\reference\00011.png,../../data/_sponsor\verify\search\00011.png,832.1,295.8,782.1,245.8,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
12,../../data/_sponsor\verify\reference\00012.png,../../data/_sponsor\verify\search\00012.png,205.0,601.9,155.0,551.9,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
13,../../data/_sponsor\verify\reference\00013.png,../../data/_sponsor\verify\search\00013.png,708.0,298.0,658.0,248.0,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
14,../../data/_sponsor\verify\reference\00014.png,../../data/_sponsor\verify\search\00014.png,283.6,291.9,233.6,241.9,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,20260811
