id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,preset,scale_ratio,rotation_deg,beam_spot_size_nm,dose_reference,dose_search,detector_noise_sigma_ref,detector_noise_sigma_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,edge_brightness_A,edge_sigma_nm,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,ambiguity_level,seed
0,data/bench/reference/00000.png,data/bench/search/00000.png,822.242760,821.130293,772.7560691166512,771.6436021050075,98.9733819242813,98.9733819242813,dram,dram_legacy,10.10372668446392,-0.06996641425409811,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4305002852191451,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403702
1,data/bench/reference/00001.png,data/bench/search/00001.png,212.903116,319.456668,165.88671292011645,272.4402647116031,94.03280687222511,94.03280687222511,dram,dram_dense,10.634586303042438,-1.8587119836004589,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6386174030478087,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403703
2,data/bench/reference/00002.png,data/bench/search/00002.png,258.476003,498.236759,207.50066263146164,447.26141821074714,101.95068159331186,101.95068159331186,dram,dram_legacy,9.808664193036662,-0.01747399347736467,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3699908579913723,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403704
3,data/bench/reference/00003.png,data/bench/search/00003.png,363.746043,390.432123,310.50510047746866,337.1911802197177,106.48188591731761,106.48188591731761,dram,dram_legacy,9.391268678096973,1.2518503922702338,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4287032695725801,2.0,0.0,0.0,2600.0,320.0,0.35,med,123403705
4,data/bench/reference/00004.png,data/bench/search/00004.png,726.426209,522.955916,670.9859824377469,467.51568880657135,110.88045409644107,110.88045409644107,dram,dram_dense,9.018722083607493,1.0718173078489173,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4713395173065312,2.0,0.0,0.0,2600.0,320.0,0.35,med,123403706
5,data/bench/reference/00005.png,data/bench/search/00005.png,205.484651,332.187219,158.87518163136454,285.57774889027417,93.21893966129352,93.21893966129352,dram,dram_dense,10.727433755773788,0.3345352084881905,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4836554088575026,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403707
6,data/bench/reference/00006.png,data/bench/search/00006.png,126.315582,329.957512,74.28322247016817,277.92515231208904,104.06471941286435,104.06471941286435,dram,dram_loose,9.609404663194443,-0.018864308577614786,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5240004269211455,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403708
7,data/bench/reference/00007.png,data/bench/search/00007.png,274.121178,514.445944,228.62765303025418,468.95241835100353,90.98705063268541,90.98705063268541,dram,dram_legacy,10.990574955957179,0.8942147860754681,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6750973301298169,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403709
8,data/bench/reference/00008.png,data/bench/search/00008.png,629.479408,99.804383,583.69734262535,54.02231735152794,91.56413150258696,91.56413150258696,dram,dram_1x,10.921307105629534,-0.39480741023798993,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6831948779116118,2.0,0.0,0.0,2600.0,320.0,0.35,med,123403710
9,data/bench/reference/00009.png,data/bench/search/00009.png,197.691147,678.795752,143.89951799849916,625.004122644711,107.58325862383268,107.58325862383268,dram,dram_legacy,9.295126516817295,-1.8595697389268224,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5667713424385332,2.0,0.0,0.0,2600.0,320.0,0.35,med,123403711
10,data/bench/reference/00010.png,data/bench/search/00010.png,278.458782,379.315341,230.66934237837506,331.5259012126676,95.57887875882489,95.57887875882489,dram,dram_1x,10.462562576438145,1.873695329989293,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.44638178397846745,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403712
11,data/bench/reference/00011.png,data/bench/search/00011.png,447.316941,227.642174,397.85405766158993,178.17929075943238,98.92576608560356,98.92576608560356,dram,dram_loose,10.10858990098362,-1.7545750640662332,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5877675839840499,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403713
12,data/bench/reference/00012.png,data/bench/search/00012.png,273.762936,509.398934,221.81321812171814,457.44921543985885,103.8994366989432,103.8994366989432,dram,dram_loose,9.624691256965894,-1.0713196624760815,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6267714831866098,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403714
13,data/bench/reference/00013.png,data/bench/search/00013.png,765.606553,943.532722,715.1453416852721,893.0715102762073,100.92242348520249,100.92242348520249,dram,dram_1x,9.908600739721859,1.1443916922966553,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4409555426319644,2.0,0.0,0.0,2600.0,320.0,0.35,med,123403715
14,data/bench/reference/00014.png,data/bench/search/00014.png,119.175476,316.632785,70.40416367764725,267.86147347693054,97.54262394850005,97.54262394850005,dram,dram_dense,10.25192843415791,0.23781918968317317,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5492699887937107,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403716
15,data/bench/reference/00015.png,data/bench/search/00015.png,654.620867,514.117556,599.3917533471121,458.88844178953303,110.45822763025367,110.45822763025367,dram,dram_dense,9.0531961398782,-1.2493493191349807,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.463611839324368,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403717
16,data/bench/reference/00016.png,data/bench/search/00016.png,517.577104,806.790181,469.85361685609047,759.0666939200418,95.44697441162786,95.44697441162786,dram,dram_legacy,10.477021468353371,-0.5915977123793978,5.0,2000.0,200.0,2.0,5.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49112007972970034,2.0,0.0,0.0,2600.0,320.0,0.35,low,123403718
