split,id,bucket,error_px,pool_size,screen_rank_of_truth
sponsor,0,correct,0.214,60,0
sponsor,1,correct,0.018,60,0
sponsor,2,correct,0.034,60,0
sponsor,3,correct,0.052,60,0
sponsor,4,outscored,14.380,60,6
sponsor,5,correct,0.289,60,0
sponsor,6,correct,0.060,60,0
sponsor,7,correct,0.165,60,0
sponsor,8,correct,0.832,60,0
sponsor,9,correct,0.042,60,0
sponsor,10,correct,0.100,60,0
sponsor,11,correct,0.178,60,0
sponsor,12,correct,0.401,60,0
sponsor,13,outscored,14.338,60,2
sponsor,14,correct,0.150,60,0
sponsor,15,outscored,21.531,60,6
sponsor,16,correct,0.303,60,0
sponsor,17,correct,0.070,60,0
sponsor,18,correct,0.042,60,0
sponsor,19,correct,0.222,60,0
sponsor,20,screened,95.170,60,14
sponsor,21,correct,0.325,60,0
sponsor,22,correct,0.360,60,0
sponsor,23,outscored,64.253,60,8
sponsor,24,outscored,43.227,60,8
sponsor,25,correct,0.205,60,0
sponsor,26,screened,21.249,60,12
sponsor,27,correct,0.030,60,0
sponsor,28,correct,0.104,60,0
sponsor,29,correct,0.151,60,0
sponsor,30,outscored,19.400,60,4
sponsor,31,correct,1.071,60,1
sponsor,32,correct,0.423,60,0
sponsor,33,correct,0.280,60,0
sponsor,34,correct,0.313,60,0
sponsor,35,correct,0.074,60,0
sponsor,36,correct,0.412,60,0
sponsor,37,correct,0.525,60,0
sponsor,38,correct,0.209,60,0
sponsor,39,correct,0.026,60,0
bench,0,correct,0.099,60,0
bench,1,correct,0.344,60,0
bench,2,correct,0.075,60,0
bench,3,correct,0.122,60,0
bench,4,absent,148.572,60,-1
bench,5,correct,0.081,60,0
bench,6,correct,0.108,60,0
bench,7,correct,0.544,60,0
bench,8,outscored,17.698,60,2
bench,9,correct,2.187,60,0
bench,10,correct,0.438,60,0
bench,11,correct,0.274,60,0
bench,12,correct,0.595,60,0
bench,13,correct,1.580,60,2
bench,14,correct,0.108,60,0
bench,15,correct,0.166,60,0
bench,16,correct,0.842,60,0
bench,17,absent,504.381,60,-1
bench,18,correct,0.099,60,0
bench,19,correct,0.340,60,0
bench,20,correct,0.370,60,0
bench,21,outscored,6.539,60,0
bench,22,correct,0.097,60,0
bench,23,correct,0.317,60,0
bench,24,screened,440.751,60,25
bench,25,correct,0.188,60,0
bench,26,correct,0.141,60,0
bench,27,correct,0.115,60,0
bench,28,correct,0.483,60,0
bench,29,correct,0.983,60,0
finfet,0,correct,1.690,60,0
finfet,1,correct,0.577,60,0
finfet,2,correct,0.312,60,0
finfet,3,correct,0.122,60,0
finfet,4,correct,0.173,60,0
finfet,5,correct,0.043,60,0
finfet,6,correct,0.228,60,0
finfet,7,correct,0.055,60,0
finfet,8,correct,0.123,60,0
finfet,9,correct,3.632,60,0
finfet,10,correct,0.312,60,0
finfet,11,correct,0.196,60,0
finfet,12,correct,0.103,60,0
finfet,13,correct,0.405,60,0
finfet,14,correct,0.286,60,0
finfet,15,correct,0.207,60,0
finfet,16,correct,0.107,60,0
finfet,17,absent,98.042,60,-1
finfet,18,correct,0.573,60,0
finfet,19,correct,0.213,60,0
finfet,20,correct,0.019,60,0
finfet,21,correct,0.738,60,0
finfet,22,correct,0.198,60,0
finfet,23,correct,0.047,60,0
finfet,24,correct,0.164,60,0
finfet,25,screened,131.583,60,29
finfet,26,correct,0.353,60,0
finfet,27,correct,0.102,60,0
finfet,28,outscored,707.285,60,0
finfet,29,correct,0.906,60,0

# bucket: correct | absent (never a candidate) | screened (cut by the screen)
#         | outscored (survived to the final comparison and lost on ZNCC)
# a candidate counts as 'the true one' within 5 px of ground truth
