split,id,bucket,error_px,pool_size,screen_rank_of_truth
streaks,0,correct,0.295,60,0
streaks,1,correct,0.186,60,0
streaks,2,correct,1.540,60,0
streaks,3,correct,3.748,60,0
streaks,4,correct,0.061,60,0
streaks,5,correct,0.260,60,0
streaks,6,absent,91.731,60,-1
streaks,7,absent,713.050,60,-1
streaks,8,correct,0.273,60,0
streaks,9,correct,0.906,60,0
streaks,10,correct,0.062,60,0
streaks,11,absent,9.401,60,-1
streaks,12,correct,0.915,60,0
streaks,13,outscored,126.102,60,3
streaks,14,absent,48.544,60,-1
streaks,15,correct,0.638,60,1
streaks,16,correct,1.467,60,0
streaks,17,correct,0.870,60,0
streaks,18,correct,1.569,60,0
streaks,19,correct,0.963,60,0
streaks,20,correct,0.661,60,0
streaks,21,screened,348.746,60,20
streaks,22,correct,0.434,60,0
streaks,23,absent,440.203,60,-1
streaks,24,absent,627.528,60,-1
streaks,25,absent,692.961,60,-1
streaks,26,correct,0.080,60,0
streaks,27,correct,0.448,60,0
streaks,28,screened,657.680,60,19
streaks,29,correct,0.316,60,0
mixed,0,correct,1.200,60,0
mixed,1,absent,518.367,60,-1
mixed,2,absent,410.526,60,-1
mixed,3,correct,1.036,60,0
mixed,4,absent,395.391,60,-1
mixed,5,correct,0.977,60,0
mixed,6,correct,0.260,60,0
mixed,7,correct,0.187,60,0
mixed,8,outscored,54.491,60,0
mixed,9,absent,515.220,60,-1
mixed,10,absent,18.074,60,-1
mixed,11,correct,0.955,60,0
mixed,12,correct,0.575,60,0
mixed,13,correct,1.261,60,0
mixed,14,absent,602.906,60,-1
mixed,15,correct,0.848,60,0
mixed,16,correct,0.253,60,0
mixed,17,correct,1.001,60,0
mixed,18,outscored,636.724,60,7
mixed,19,correct,0.314,60,0
mixed,20,outscored,56.625,60,1
mixed,21,absent,579.486,60,-1
mixed,22,correct,1.940,60,0
mixed,23,absent,313.522,60,-1
mixed,24,correct,1.328,60,0
mixed,25,absent,505.318,60,-1
mixed,26,correct,0.636,60,0
mixed,27,correct,0.051,60,0
mixed,28,screened,307.502,60,32
mixed,29,screened,110.340,60,12

# bucket: correct | absent (never a candidate) | screened (cut by the screen)
#         | outscored (survived to the final comparison and lost on ZNCC)
# a candidate counts as 'the true one' within 5 px of ground truth
