split,id,bucket,error_px,pool_size,screen_rank_of_truth
dev,0,correct,0.156,66,0
dev,1,correct,0.350,61,0
dev,2,correct,0.113,62,0
dev,3,correct,0.999,68,5
dev,4,correct,0.108,63,0
dev,5,correct,0.029,60,0
dev,6,correct,0.551,61,0
dev,7,correct,0.053,62,0
dev,8,correct,0.048,68,0
dev,9,correct,1.034,63,0
dev,10,correct,0.947,61,0
dev,11,correct,0.297,60,0
dev,12,correct,0.675,66,1
dev,13,correct,0.513,60,0
dev,14,correct,0.336,61,0
dev,15,correct,0.245,67,0
dev,16,correct,0.153,64,0
dev,17,correct,0.035,66,0
dev,18,correct,0.473,63,0
dev,19,correct,0.087,65,0
dev,20,correct,0.170,60,0
dev,21,correct,0.392,62,0
dev,22,correct,0.417,72,27
dev,23,correct,0.435,64,0
dev,24,correct,0.759,65,0
dev,25,correct,0.438,64,0
dev,26,correct,1.052,60,0
dev,27,correct,0.067,63,0
dev,28,correct,0.133,60,0
dev,29,correct,0.129,62,3
dev,30,correct,0.195,62,0
dev,31,correct,1.827,60,0
dev,32,correct,0.396,61,0
dev,33,outscored,478.299,71,19
dev,34,correct,0.974,62,0
dev,35,absent,124.122,74,-1
dev,36,correct,0.054,65,0
dev,37,correct,0.358,63,0
dev,38,correct,0.169,60,0
dev,39,correct,0.270,60,0
dev2,0,correct,0.157,61,0
dev2,1,correct,0.049,69,0
dev2,2,correct,0.641,67,0
dev2,3,correct,0.109,64,0
dev2,4,correct,0.254,66,0
dev2,5,correct,0.265,60,0
dev2,6,correct,0.537,63,0
dev2,7,correct,0.384,60,0
dev2,8,correct,0.169,63,0
dev2,9,correct,0.385,60,0
dev2,10,correct,1.388,60,0
dev2,11,correct,0.190,62,0
dev2,12,correct,0.191,74,9
dev2,13,correct,0.677,63,0
dev2,14,correct,0.072,60,0
dev2,15,absent,85.692,65,-1
dev2,16,correct,0.913,62,0
dev2,17,correct,0.692,64,0
dev2,18,correct,0.142,62,0
dev2,19,correct,0.770,69,0
dev2,20,correct,0.454,61,0
dev2,21,correct,0.473,64,0
dev2,22,correct,0.118,62,0
dev2,23,correct,0.179,62,0
dev2,24,correct,1.050,61,0
dev2,25,correct,0.159,62,0
dev2,26,correct,0.052,60,0
dev2,27,correct,1.457,63,0
dev2,28,correct,2.228,63,0
dev2,29,correct,0.157,63,0
dev2,30,correct,0.135,62,0
dev2,31,correct,0.191,60,0
dev2,32,correct,0.162,68,0
dev2,33,screened,500.178,63,50
dev2,34,correct,0.688,69,0
