split,id,err_base_px,err_cal_px,zncc_lift_truth,zncc_lift_winner,ok_base,ok_cal,applied,reason,period_px,confidence,agreement_px,field_rms_px,accepted_rows,calibration_ms
dev,0,0.1645,1.4128,-0.00668,-0.00668,1,1,1,applied,17.123,0.1027,0.5345,0.5795,956,102.6
dev,1,0.3498,0.1749,0.04978,0.02415,1,1,1,applied,6.129,0.3365,0.3961,0.5258,991,99.3
dev,2,0.1127,0.2952,0.01764,0.01764,1,1,1,applied,15.229,0.1109,0.4272,0.581,939,98.1
dev,3,83.8109,85.3333,0.02466,0.01406,0,0,1,applied,7.091,0.2921,0.4154,0.5517,982,98.9
dev,4,0.1076,0.4767,0.04411,0.04411,1,1,1,applied,6.025,0.3275,0.4438,0.5346,997,98.2
dev,5,0.0387,0.0259,0.03645,0.03645,1,1,1,applied,4.881,0.4251,0.4565,0.5263,1000,95.8
dev,6,0.5613,0.5613,0.0,0.0,1,1,0,estimators disagree by 0.78 px,10.535,0.1485,0.7845,0.5736,989,94.9
dev,7,0.0492,0.0492,0.0,0.0,1,1,0,estimators disagree by 1.23 px,10.218,0.1246,1.2339,0.8085,991,95.0
dev,8,0.0618,0.2134,0.01934,0.01934,1,1,1,applied,17.025,0.0969,0.4648,0.6148,951,102.8
dev,9,1.0336,1.0336,0.0,0.0,1,1,0,estimators disagree by 2.15 px,16.294,0.0672,2.1515,1.1493,970,94.2
dev,10,0.9473,0.9473,0.0,0.0,1,1,0,estimators disagree by 1.47 px,15.513,0.0848,1.4707,0.9004,966,96.5
dev,11,0.2973,0.2973,0.0,0.0,1,1,0,estimators disagree by 1.06 px,9.762,0.1574,1.0601,0.6574,982,95.4
dev,12,116.2002,115.7381,0.03371,0.02861,0,0,1,applied,9.658,0.2008,0.4076,0.5612,969,98.1
dev,13,0.5245,0.5245,0.0,0.0,1,1,0,estimators disagree by 1.28 px,16.307,0.0822,1.2791,0.85,960,98.9
dev,14,0.1421,0.3837,0.01879,0.01424,1,1,1,applied,17.691,0.0935,0.6195,0.5985,972,99.8
dev,15,0.2452,0.2452,0.0,0.0,1,1,0,estimators disagree by 1.63 px,15.151,0.0772,1.6301,0.9747,975,101.0
dev,16,0.1535,0.3298,0.02811,0.02811,1,1,1,applied,6.258,0.2883,0.5669,0.57,1000,101.2
dev,17,0.0829,0.08,0.03347,0.03347,1,1,1,applied,9.066,0.209,0.4341,0.5719,974,99.5
dev,18,0.4848,0.4848,0.0,0.0,1,1,0,estimators disagree by 1.32 px,16.675,0.0789,1.3218,0.8126,948,95.5
dev,19,0.0858,0.1086,0.05702,0.05702,1,1,1,applied,5.124,0.4348,0.3863,0.4984,1000,100.3
dev,20,0.17,0.2355,-0.01153,-0.01153,1,1,1,applied,9.706,0.1735,0.577,0.6137,992,99.3
dev,21,0.3918,0.2095,0.04325,0.04325,1,1,1,applied,4.946,0.466,0.3911,0.5149,1000,103.4
dev,22,120.1577,120.1643,0.02648,0.03627,0,0,1,applied,6.678,0.3017,0.3845,0.5163,993,101.3
dev,23,0.4348,0.2511,0.05222,0.06447,1,1,1,applied,4.554,0.5301,0.4071,0.5267,1000,107.0
dev,24,0.7593,0.7593,0.0,0.0,1,1,0,estimators disagree by 2.21 px,17.912,0.0573,2.2126,1.0114,937,102.6
dev,25,0.4375,0.7018,0.00635,0.02559,1,1,1,applied,10.391,0.1688,0.4574,0.5677,978,105.1
dev,26,1.052,0.0916,0.00548,0.03242,1,1,1,applied,4.924,0.4683,0.3725,0.5192,1000,102.9
dev,27,0.0669,0.1234,0.03922,0.03922,1,1,1,applied,4.407,0.5697,0.3798,0.5149,999,100.9
dev,28,0.1214,0.1281,0.0294,0.0294,1,1,1,applied,9.316,0.1909,0.4726,0.5719,975,103.0
dev,29,0.1655,48.4259,0.03687,0.03388,1,0,1,applied,6.015,0.3404,0.4092,0.5467,998,100.2
dev,30,0.1952,0.5274,0.04424,0.04083,1,1,1,applied,5.076,0.4425,0.3847,0.5365,1000,103.4
dev,31,1.8273,1.8273,0.0,0.0,1,1,0,estimators disagree by 1.22 px,10.061,0.1321,1.2178,0.7374,987,99.0
dev,32,0.3957,0.4944,0.04198,0.04198,1,1,1,applied,6.463,0.2902,0.5089,0.5719,1000,101.3
dev,33,74.2986,74.2085,0.04795,0.04756,0,0,1,applied,4.905,0.4234,0.389,0.5241,1000,105.2
dev,34,0.9742,0.9742,0.0,0.0,1,1,0,estimators disagree by 2.34 px,15.577,0.0674,2.3434,1.261,965,99.0
dev,35,473.4588,653.7247,0.03355,0.0172,0,0,1,applied,5.924,0.3674,0.384,0.5438,999,102.5
dev,36,0.0538,0.0538,0.0,0.0,1,1,0,estimators disagree by 1.32 px,16.25,0.0897,1.3167,0.8357,967,100.8
dev,37,0.3445,0.4149,0.02564,0.02564,1,1,1,applied,17.516,0.097,0.6119,0.6085,937,104.7
dev,38,0.1692,0.02,0.02501,0.03481,1,1,1,applied,9.529,0.1927,0.3978,0.5445,994,106.6
dev,39,0.2697,0.2697,0.0,0.0,1,1,0,estimators disagree by 1.07 px,9.869,0.1502,1.0684,0.6654,981,102.4

# The frozen pipeline, run twice on the same pair. The only difference is that
# the search image has had its per-row scan jitter measured and removed FIRST,
# from the whole image, before any candidate exists - so the same correction
# applies to the true site and to every impostor.
