metric,value
n_pairs,40
error_mean_px,30.5516
error_median_px,0.975026
error_p95_px,130.705
error_worst_px,628.578
mislock_rate,0.2
n_mislocks,8
pass@5px,0.8
pass@4px,0.8
pass@2px,0.8
pass@1px,0.525
pass@subpixel(0.5px),0.2
error_median_px_located_only,0.715133
error_mean_px_located_only,0.789863
runtime_p50_ms,218.07
runtime_p95_ms,234.605
runtime_mean_ms,225.71
python_version,3.14.3
platform,Windows 11 (AMD64)
processor,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel"
opencv_version,5.0.0
timing_method,"time.perf_counter() around load+localize, per pair, single-threaded"
