id,pca_r,pca_g,pca_b,angle_from_luma_deg,err_luma,ok_luma,ms_luma,err_pca,ok_pca,ms_pca,err_green,ok_green,ms_green
0,0.7893,0.6127,0.0391,26.15,0.0334,1,973.1,0.0301,1,529.9,0.0135,1,551.1
1,0.7907,0.6085,0.0667,25.93,0.0871,1,540.6,0.1471,1,566.9,0.0415,1,550.1
2,0.7896,0.6082,0.0812,25.71,0.2133,1,553.2,0.1737,1,613.8,0.1606,1,567.9
3,0.7862,0.6123,0.0838,25.38,0.0848,1,550.6,0.0929,1,542.4,0.0851,1,507.2
4,0.7841,0.6118,0.1049,25.09,0.0255,1,512.8,0.0255,1,506.6,0.0502,1,534.3
5,0.7839,0.6113,0.1083,25.07,0.0391,1,531.8,0.0272,1,555.2,0.0316,1,587.8
6,0.7906,0.6078,0.0752,25.84,0.0427,1,580.3,0.0279,1,557.4,0.0336,1,578.3
7,0.7882,0.6111,0.073,25.65,0.1314,1,542.1,0.1554,1,565.7,0.1222,1,534.8
8,0.7874,0.6083,0.0995,25.41,0.128,1,591.0,0.1088,1,588.4,0.131,1,600.6
9,0.7909,0.611,0.0341,26.36,27.1462,0,542.3,0.1584,1,512.2,27.0834,0,526.2
10,0.7894,0.6089,0.0775,25.72,0.273,1,582.8,0.2799,1,594.4,0.2344,1,592.1
11,0.7863,0.612,0.0853,25.38,0.0497,1,500.3,0.0775,1,522.3,0.0682,1,510.2
12,0.7906,0.612,0.0196,26.58,0.5632,1,555.9,0.523,1,545.8,0.4947,1,529.0
13,0.7833,0.6082,0.1287,25.0,0.112,1,517.8,0.1139,1,514.4,0.1198,1,513.2
14,0.7888,0.608,0.0904,25.58,0.0296,1,516.1,0.0613,1,579.8,0.0396,1,519.8
15,0.7907,0.6107,0.0428,26.22,0.0666,1,524.8,0.082,1,544.8,0.0688,1,537.9
16,0.7895,0.607,0.0913,25.63,0.0443,1,588.0,0.0513,1,504.4,0.0287,1,462.3
17,0.7864,0.608,0.109,25.29,21.2464,0,417.4,21.2468,0,421.0,21.2018,0,427.6
18,0.7922,0.6101,0.0149,26.81,0.3012,1,367.0,0.0858,1,354.5,0.1455,1,340.5
19,0.7872,0.6135,0.0632,25.65,0.179,1,405.6,0.1596,1,409.2,0.1596,1,400.3
20,0.7796,0.6089,0.1467,24.73,0.1573,1,428.7,0.1604,1,464.5,0.1548,1,433.1
21,0.787,0.6146,0.0537,25.74,0.5595,1,358.9,0.4937,1,376.0,0.5152,1,386.7
22,0.79,0.6078,0.0813,25.74,0.0689,1,420.3,0.0695,1,430.9,0.0623,1,429.4
23,0.7807,0.6124,0.1241,24.76,0.1175,1,444.0,0.1183,1,436.6,0.1175,1,450.6
24,0.7865,0.6096,0.0987,25.33,0.1122,1,418.2,0.0915,1,415.9,0.0795,1,419.5
25,0.7826,0.6154,0.094,25.0,0.0869,1,401.7,0.0868,1,388.7,0.0983,1,381.5
26,0.785,0.6126,0.0928,25.21,0.1341,1,422.5,0.1681,1,435.6,0.0796,1,410.6
27,0.7851,0.6088,0.1141,25.16,0.2079,1,459.1,0.2069,1,418.0,0.2069,1,408.2
28,0.7879,0.6085,0.0951,25.47,0.0886,1,459.7,0.0923,1,471.7,0.0793,1,479.4
29,0.7913,0.6081,0.0633,26.02,0.0858,1,430.4,0.086,1,429.2,0.0891,1,440.8
# RGB optical brightfield, the problem statement's bonus modality. The SEM pipeline is
# unchanged; only the RGB -> single-channel projection differs between the three arms.
# luma  = Rec. 601, the weights a human eye would use
# pca   = the direction of greatest colour variance in the REFERENCE, measured per pair
# green = the single sharpest channel, as a control on what 'pca' is really doing
