selector,sponsor,bench,finfet,aggregate_mislock,flips,fixed_broke,mcnemar_p
max,20.0%  +0/-6,13.3%  +3/-2,6.7%  +0/-1,14.0%,52,+3/-9,0.1460
top3,22.5%  +0/-7,13.3%  +2/-1,6.7%  +0/-1,15.0%,53,+2/-9,0.0654
lse 10,10.0%  +0/-2,13.3%  +1/-0,3.3%  +0/-0,9.0%,12,+1/-2,1.0000
mean,10.0%  +0/-2,20.0%  +0/-1,3.3%  +0/-0,11.0%,20,+0/-3,0.2500
ev 0.1,20.0%  +0/-6,13.3%  +3/-2,6.7%  +0/-1,14.0%,48,+3/-9,0.1460
entropy 0.002,20.0%  +0/-6,13.3%  +3/-2,6.7%  +0/-1,14.0%,52,+3/-9,0.1460
ev_neff 0.05,20.0%  +0/-6,13.3%  +3/-2,6.7%  +0/-1,14.0%,51,+3/-9,0.1460
peaky 0.1,22.5%  +0/-7,13.3%  +3/-2,6.7%  +0/-1,15.0%,56,+3/-10,0.0923

# Every selector reads the SAME cached pose grids, so the comparison is exactly
# paired. 'flips' counts candidates chosen differently from the shipped maximum.
# Free parameters were chosen on dev and frozen before these splits were scored.
