split,id,case,representation,truth_peak_rank,score_at_truth,surface_max,deficit
bench,4,ABSENT-failure,intensity,-1,0.7025,0.8694,0.1669
bench,4,ABSENT-failure,edge,-1,0.4019,0.7001,0.2983
bench,4,ABSENT-failure,variance,6,0.3018,0.456,0.1542
bench,4,ABSENT-failure,residual,-1,0.2079,0.2641,0.0562
bench,17,ABSENT-failure,intensity,13,0.7804,0.8441,0.0636
bench,17,ABSENT-failure,edge,1,0.5727,0.6513,0.0786
bench,17,ABSENT-failure,variance,12,0.221,0.3266,0.1057
bench,17,ABSENT-failure,residual,-1,0.1902,0.2477,0.0576
bench,0,control-correct,intensity,0,0.8441,0.9144,0.0703
bench,0,control-correct,edge,0,0.5415,0.725,0.1836
bench,0,control-correct,variance,0,0.5561,0.6398,0.0837
bench,0,control-correct,residual,0,0.5161,0.5567,0.0406
bench,1,control-correct,intensity,-1,0.6896,0.8247,0.1351
bench,1,control-correct,edge,-1,0.4948,0.6604,0.1656
bench,1,control-correct,variance,0,0.4027,0.4632,0.0605
bench,1,control-correct,residual,0,0.2938,0.371,0.0773
bench,2,control-correct,intensity,0,0.9387,0.9387,0.0
bench,2,control-correct,edge,0,0.7648,0.7648,0.0
bench,2,control-correct,variance,0,0.6517,0.6517,0.0
bench,2,control-correct,residual,26,0.4179,0.5358,0.1179
bench,3,control-correct,intensity,3,0.92,0.9485,0.0286
bench,3,control-correct,edge,2,0.6692,0.7852,0.116
bench,3,control-correct,variance,23,0.5919,0.6505,0.0586
bench,3,control-correct,residual,4,0.4675,0.5346,0.0671
bench,5,control-correct,intensity,-1,0.7577,0.826,0.0683
bench,5,control-correct,edge,-1,0.5538,0.6771,0.1234
bench,5,control-correct,variance,3,0.4049,0.4772,0.0723
bench,5,control-correct,residual,2,0.3203,0.33,0.0097
bench,6,control-correct,intensity,0,0.9283,0.9283,0.0
bench,6,control-correct,edge,0,0.7895,0.7895,0.0
bench,6,control-correct,variance,0,0.6311,0.6311,0.0
bench,6,control-correct,residual,14,0.3006,0.3554,0.0547
finfet,17,ABSENT-failure,intensity,-1,0.3172,0.8454,0.5282
finfet,17,ABSENT-failure,edge,-1,0.1017,0.7223,0.6206
finfet,17,ABSENT-failure,variance,-1,0.2901,0.5939,0.3038
finfet,17,ABSENT-failure,residual,0,0.1926,0.6285,0.4359
finfet,0,control-correct,intensity,0,0.7482,0.8188,0.0707
finfet,0,control-correct,edge,0,0.645,0.72,0.075
finfet,0,control-correct,variance,0,0.7472,0.7472,0.0
finfet,0,control-correct,residual,0,0.613,0.685,0.072
finfet,1,control-correct,intensity,11,0.8292,0.9116,0.0824
finfet,1,control-correct,edge,27,0.5134,0.7347,0.2212
finfet,1,control-correct,variance,-1,0.4533,0.5838,0.1305
finfet,1,control-correct,residual,-1,0.5246,0.6007,0.0761
finfet,2,control-correct,intensity,0,0.8432,0.9325,0.0893
finfet,2,control-correct,edge,0,0.6126,0.8299,0.2173
finfet,2,control-correct,variance,0,0.5917,0.6926,0.1009
finfet,2,control-correct,residual,0,0.6463,0.7145,0.0681
finfet,3,control-correct,intensity,0,0.7096,0.8524,0.1429
finfet,3,control-correct,edge,1,0.5989,0.8075,0.2086
finfet,3,control-correct,variance,0,0.6656,0.7121,0.0465
finfet,3,control-correct,residual,0,0.5482,0.6655,0.1173
finfet,4,control-correct,intensity,1,0.7223,0.726,0.0037
finfet,4,control-correct,edge,1,0.623,0.6267,0.0038
finfet,4,control-correct,variance,0,0.7058,0.7177,0.0119
finfet,4,control-correct,residual,0,0.3849,0.3849,0.0
finfet,5,control-correct,intensity,0,0.7894,0.7894,0.0
finfet,5,control-correct,edge,0,0.7241,0.7241,0.0
finfet,5,control-correct,variance,0,0.7229,0.7229,0.0
finfet,5,control-correct,residual,0,0.6092,0.6092,0.0
# Every representation is scored at the generator's EXACT recorded pose, so none is
# blamed for a pose error. truth_peak_rank is the truth's position among the top 30
# non-maximum-suppressed peaks, or -1 if it is not among them. The control rows are
# pairs the pipeline already gets right - a representation that ranks the truth first
# everywhere has found nothing, so the contrast is the evidence.
