split,id,sel_err_px,final_err_px,shift_total_px,shift_pose_refine_px,shift_subpixel_px,shift_drift_px,shear_px,predrift_err_px,lost_by_refinement
dev,0,0.9985,0.1565,0.8548,0.0000,0.1924,0.8634,1.3555,1.0167,0
dev,1,0.8523,0.3498,1.1863,0.0000,0.2184,1.1076,2.2276,0.7593,0
dev,2,1.0678,0.1127,1.1154,0.0000,0.2010,1.0773,1.5524,1.0119,0
dev,3,1.0202,0.9989,1.9979,0.0000,0.3828,2.1821,2.9672,1.1834,0
dev,4,0.9720,0.1076,1.0340,0.0000,0.2746,0.7930,1.7999,0.7195,0
dev,5,0.2437,0.0287,0.2708,0.0000,0.1487,0.3475,1.2862,0.3190,0
dev,6,0.2146,0.5514,0.3466,0.0000,0.3705,0.0240,0.0755,0.5753,0
dev,7,0.7141,0.0531,0.7362,0.0000,0.0632,0.7960,1.6900,0.7724,0
dev,8,0.6578,0.0476,0.6387,0.0000,0.2335,0.6359,1.4833,0.6691,0
dev,9,0.8966,1.0336,1.8699,0.0000,0.0000,1.8699,3.0301,0.8966,0
dev,10,0.8104,0.9473,0.2794,0.0000,0.2460,0.0622,-0.1185,0.8851,0
dev,11,0.9951,0.2973,0.6979,0.0000,0.1200,0.5779,1.0146,0.8751,0
dev,12,1.4908,0.6748,0.8289,0.0000,0.0000,0.8289,1.1821,1.4908,0
dev,13,0.8391,0.5132,1.3522,0.0000,0.0943,1.3999,2.8049,0.8875,0
dev,14,0.3538,0.3361,0.0413,0.0000,0.4809,0.4516,1.4646,0.6648,0
dev,15,0.8069,0.2452,0.5633,0.0000,0.1315,0.4330,1.2931,0.6758,0
dev,16,0.1762,0.1531,0.0613,0.0000,0.2280,0.2324,0.7418,0.3855,0
dev,17,0.6406,0.0345,0.6195,0.0000,0.2408,0.5911,1.9005,0.6001,0
dev,18,0.9581,0.4726,0.4927,0.0000,0.2500,0.7427,0.8552,1.2067,0
dev,19,0.6004,0.0866,0.6837,0.0000,0.3041,0.7681,2.1212,0.6824,0
dev,20,0.2319,0.1700,0.1625,0.0000,0.2968,0.2785,1.1057,0.4463,0
dev,21,0.9773,0.3918,1.3679,0.0000,0.3176,1.0797,2.2691,0.6884,0
dev,22,0.8284,0.4166,0.4330,0.0000,0.2550,0.2190,0.5346,0.6356,0
dev,23,0.6845,0.4348,0.4203,0.0000,0.4101,0.0826,0.3300,0.5172,0
dev,24,0.7616,0.7593,0.3249,0.0000,0.3158,0.0373,-0.0812,0.7222,0
dev,25,0.6243,0.4375,0.2593,0.0000,0.2563,0.1883,0.5425,0.6224,0
dev,26,1.3094,1.0520,0.2632,0.0000,0.1166,0.1563,0.1768,1.2082,0
dev,27,0.3330,0.0669,0.2683,0.0000,0.2625,0.3488,1.3110,0.4073,0
dev,28,0.6620,0.1329,0.5303,0.0000,0.2476,0.3288,1.2427,0.4502,0
dev,29,0.8214,0.1295,0.7771,0.0000,0.4243,0.5939,1.5042,0.5693,0
dev,30,0.3736,0.1952,0.5567,0.0000,0.3705,0.9264,1.8254,0.7438,0
