split,id,image,axis,period_px,r_1,r_last,modulation_strength,best_order,p_value,residual_rms
sponsor,0,reference,y,97.082,0.7179,,0.9654,5,0.6484,0.0914
sponsor,0,reference,x,73.549,0.3643,,0.9062,2,0.5212,0.12623
sponsor,0,search,y,9.612,0.4397,0.1435,1.3349,2,0.0025,0.06845
sponsor,0,search,x,17.993,0.5136,0.0048,0.7734,8,0.3192,0.05889
sponsor,1,reference,y,71.54,0.5495,,1.2085,2,0.0224,0.11854
sponsor,1,reference,x,71.391,0.5182,,0.7514,3,0.8828,0.08551
sponsor,1,search,y,9.577,0.4689,0.0438,1.622,2,0.0025,0.05639
sponsor,1,search,x,14.647,0.4989,-0.0044,0.6266,24,0.8204,0.05037
sponsor,2,reference,y,63.511,0.9314,,0.914,15,0.2693,0.04051
sponsor,2,reference,x,97.423,0.8807,,0.8944,10,0.8005,0.10948
sponsor,2,search,y,4.795,0.4814,0.3559,0.9293,3,0.0324,0.06884
sponsor,2,search,x,7.294,0.4733,0.1054,1.083,3,0.0025,0.05668
sponsor,3,reference,y,69.531,0.8079,,0.8411,5,0.6509,0.06858
sponsor,3,reference,x,109.391,0.9313,,0.8315,2,0.9277,0.04562
sponsor,3,search,y,15.835,0.4133,0.0115,0.748,24,0.4065,0.05007
sponsor,3,search,x,10.767,0.3366,0.0398,0.6542,2,0.7781,0.05384
sponsor,4,reference,y,71.15,0.9355,,1.127,2,0.0549,0.0165
sponsor,4,reference,x,113.982,0.7323,,0.9098,8,0.9302,0.0689
sponsor,4,search,y,4.738,0.3615,0.3553,1.0828,2,0.0175,0.0789
sponsor,4,search,x,10.815,0.3233,0.0689,1.1845,2,0.0025,0.07563
sponsor,5,reference,y,47.587,0.6149,,1.1756,3,0.0025,0.12368
sponsor,5,reference,x,72.89,0.8199,,1.0058,13,0.2045,0.07452
sponsor,5,search,y,11.949,0.5023,0.0408,1.0618,4,0.01,0.06558
sponsor,5,search,x,23.635,0.3454,0.0248,0.7453,24,0.2993,0.06708
